quarter,ticker,revenue_millions
2019Q1,LULU,1159.4
2019Q2,LULU,1179.0
2019Q3,LULU,1133.9
2019Q4,LULU,1156.5
2020Q1,LULU,1095.3
2020Q2,LULU,1236.0
2020Q3,LULU,1185.0
2020Q4,LULU,1206.4
2021Q1,LULU,1148.2
2021Q2,LULU,1233.2
2021Q3,LULU,1229.1
2021Q4,LULU,1229.5
2022Q1,LULU,1195.9
2022Q2,LULU,1211.1
2022Q3,LULU,1210.6
2022Q4,LULU,1277.4
2023Q1,LULU,1229.7
2023Q2,LULU,1279.1
2023Q3,LULU,1251.0
2023Q4,LULU,1295.0
2024Q1,LULU,1344.5
2024Q2,LULU,1253.6
2024Q3,LULU,1224.6
2024Q4,LULU,1371.6
2025Q1,LULU,1229.4
2025Q2,LULU,1332.7
2025Q3,LULU,1395.3
2025Q4,LULU,1389.3
2019Q1,CMG,1322.5
2019Q2,CMG,1279.3
2019Q3,CMG,1286.2
2019Q4,CMG,1324.1
2020Q1,CMG,1320.5
2020Q2,CMG,1364.5
2020Q3,CMG,1300.8
2020Q4,CMG,1259.1
2021Q1,CMG,1340.4
2021Q2,CMG,1321.2
2021Q3,CMG,1353.6
2021Q4,CMG,1339.5
2022Q1,CMG,1285.0
2022Q2,CMG,1326.0
2022Q3,CMG,1339.2
2022Q4,CMG,1302.6
2023Q1,CMG,1290.5
2023Q2,CMG,1337.8
2023Q3,CMG,1333.8
2023Q4,CMG,1356.3
2024Q1,CMG,1383.5
2024Q2,CMG,1348.0
2024Q3,CMG,1348.3
2024Q4,CMG,1387.1
2025Q1,CMG,1314.6
2025Q2,CMG,1419.1
2025Q3,CMG,1359.9
2025Q4,CMG,1372.1
2019Q1,TGT,1218.0
2019Q2,TGT,1221.1
2019Q3,TGT,1260.2
2019Q4,TGT,1335.8
2020Q1,TGT,1247.4
2020Q2,TGT,1326.0
2020Q3,TGT,1302.3
2020Q4,TGT,1344.9
2021Q1,TGT,1230.5
2021Q2,TGT,1287.1
2021Q3,TGT,1263.1
2021Q4,TGT,1295.3
2022Q1,TGT,1243.6
2022Q2,TGT,1264.6
2022Q3,TGT,1236.1
2022Q4,TGT,1242.1
2023Q1,TGT,1267.7
2023Q2,TGT,1301.6
2023Q3,TGT,1265.7
2023Q4,TGT,1328.8
2024Q1,TGT,1261.2
2024Q2,TGT,1242.9
2024Q3,TGT,1232.3
2024Q4,TGT,1285.0
2025Q1,TGT,1354.0
2025Q2,TGT,1284.7
2025Q3,TGT,1250.0
2025Q4,TGT,1350.6
