date,ticker,search_interest
2019-01-01,LULU,27
2019-02-01,LULU,23
2019-03-01,LULU,24
2019-04-01,LULU,25
2019-05-01,LULU,24
2019-06-01,LULU,24
2019-07-01,LULU,24
2019-08-01,LULU,25
2019-09-01,LULU,27
2019-10-01,LULU,27
2019-11-01,LULU,39
2019-12-01,LULU,49
2020-01-01,LULU,34
2020-02-01,LULU,29
2020-03-01,LULU,27
2020-04-01,LULU,38
2020-05-01,LULU,40
2020-06-01,LULU,35
2020-07-01,LULU,35
2020-08-01,LULU,29
2020-09-01,LULU,30
2020-10-01,LULU,25
2020-11-01,LULU,40
2020-12-01,LULU,42
2021-01-01,LULU,30
2021-02-01,LULU,25
2021-03-01,LULU,26
2021-04-01,LULU,27
2021-05-01,LULU,27
2021-06-01,LULU,29
2021-07-01,LULU,29
2021-08-01,LULU,29
2021-09-01,LULU,30
2021-10-01,LULU,33
2021-11-01,LULU,50
2021-12-01,LULU,53
2022-01-01,LULU,40
2022-02-01,LULU,36
2022-03-01,LULU,37
2022-04-01,LULU,39
2022-05-01,LULU,37
2022-06-01,LULU,42
2022-07-01,LULU,45
2022-08-01,LULU,48
2022-09-01,LULU,42
2022-10-01,LULU,42
2022-11-01,LULU,64
2022-12-01,LULU,66
2023-01-01,LULU,53
2023-02-01,LULU,45
2023-03-01,LULU,44
2023-04-01,LULU,46
2023-05-01,LULU,46
2023-06-01,LULU,48
2023-07-01,LULU,50
2023-08-01,LULU,52
2023-09-01,LULU,46
2023-10-01,LULU,47
2023-11-01,LULU,75
2023-12-01,LULU,75
2024-01-01,LULU,58
2024-02-01,LULU,52
2024-03-01,LULU,52
2024-04-01,LULU,52
2024-05-01,LULU,52
2024-06-01,LULU,54
2024-07-01,LULU,54
2024-08-01,LULU,56
2024-09-01,LULU,50
2024-10-01,LULU,52
2024-11-01,LULU,88
2024-12-01,LULU,100
2025-01-01,LULU,67
2025-02-01,LULU,56
2025-03-01,LULU,60
2025-04-01,LULU,64
2025-05-01,LULU,59
2025-06-01,LULU,68
2025-07-01,LULU,78
2025-08-01,LULU,77
2025-09-01,LULU,73
2025-10-01,LULU,70
2025-11-01,LULU,95
2025-12-01,LULU,96
