quarter,ticker,revenue_millions
2019Q1,LULU,1231.8
2019Q2,LULU,1258.0
2019Q3,LULU,1187.7
2019Q4,LULU,1180.0
2020Q1,LULU,1156.1
2020Q2,LULU,1282.0
2020Q3,LULU,1223.7
2020Q4,LULU,1227.5
2021Q1,LULU,1217.4
2021Q2,LULU,1311.0
2021Q3,LULU,1275.9
2021Q4,LULU,1232.6
2022Q1,LULU,1247.0
2022Q2,LULU,1260.4
2022Q3,LULU,1224.4
2022Q4,LULU,1252.3
2023Q1,LULU,1258.3
2023Q2,LULU,1315.0
2023Q3,LULU,1241.4
2023Q4,LULU,1259.3
2024Q1,LULU,1365.6
2024Q2,LULU,1273.3
2024Q3,LULU,1213.9
2024Q4,LULU,1307.2
2025Q1,LULU,1237.3
2025Q2,LULU,1323.3
2025Q3,LULU,1333.9
2025Q4,LULU,1304.0
2019Q1,CMG,1283.4
2019Q2,CMG,1229.8
2019Q3,CMG,1217.5
2019Q4,CMG,1256.5
2020Q1,CMG,1270.6
2020Q2,CMG,1273.7
2020Q3,CMG,1206.3
2020Q4,CMG,1178.8
2021Q1,CMG,1268.8
2021Q2,CMG,1227.7
2021Q3,CMG,1272.0
2021Q4,CMG,1248.7
2022Q1,CMG,1241.9
2022Q2,CMG,1283.5
2022Q3,CMG,1287.0
2022Q4,CMG,1259.2
2023Q1,CMG,1250.9
2023Q2,CMG,1304.1
2023Q3,CMG,1281.6
2023Q4,CMG,1311.2
2024Q1,CMG,1324.4
2024Q2,CMG,1267.1
2024Q3,CMG,1264.9
2024Q4,CMG,1308.8
2025Q1,CMG,1248.3
2025Q2,CMG,1352.0
2025Q3,CMG,1262.3
2025Q4,CMG,1284.9
2019Q1,TGT,1210.9
2019Q2,TGT,1206.5
2019Q3,TGT,1218.0
2019Q4,TGT,1248.9
2020Q1,TGT,1233.9
2020Q2,TGT,1254.9
2020Q3,TGT,1243.3
2020Q4,TGT,1258.3
2021Q1,TGT,1210.9
2021Q2,TGT,1282.4
2021Q3,TGT,1245.8
2021Q4,TGT,1215.5
2022Q1,TGT,1241.6
2022Q2,TGT,1273.7
2022Q3,TGT,1209.4
2022Q4,TGT,1191.3
2023Q1,TGT,1292.7
2023Q2,TGT,1319.8
2023Q3,TGT,1258.8
2023Q4,TGT,1298.0
2024Q1,TGT,1283.0
2024Q2,TGT,1260.7
2024Q3,TGT,1220.1
2024Q4,TGT,1254.4
2025Q1,TGT,1365.5
2025Q2,TGT,1308.0
2025Q3,TGT,1222.6
2025Q4,TGT,1300.5
